0. 10 animals, 0 plants, 50 avg. energy, -1 avg. life time, 0 avg. childs
1. 11 animals, 2 plants, 44 avg. energy, -1 avg. life time, 0 avg. childs
2. 11 animals, 4 plants, 43 avg. energy, -1 avg. life time, 0 avg. childs
3. 12 animals, 6 plants, 39 avg. energy, -1 avg. life time, 0 avg. childs
4. 12 animals, 8 plants, 38 avg. energy, -1 avg. life time, 0 avg. childs
5. 12 animals, 10 plants, 37 avg. energy, -1 avg. life time, 0 avg. childs
6. 12 animals, 12 plants, 36 avg. energy, -1 avg. life time, 0 avg. childs
7. 12 animals, 14 plants, 35 avg. energy, -1 avg. life time, 0 avg. childs
8. 12 animals, 16 plants, 34 avg. energy, -1 avg. life time, 0 avg. childs
9. 12 animals, 16 plants, 36 avg. energy, -1 avg. life time, 0 avg. childs
10. 12 animals, 18 plants, 35 avg. energy, -1 avg. life time, 0 avg. childs
11. 12 animals, 18 plants, 36 avg. energy, -1 avg. life time, 0 avg. childs
12. 12 animals, 17 plants, 38 avg. energy, -1 avg. life time, 0 avg. childs
13. 12 animals, 18 plants, 37 avg. energy, -1 avg. life time, 0 avg. childs
14. 13 animals, 20 plants, 33 avg. energy, -1 avg. life time, 0 avg. childs
15. 13 animals, 21 plants, 32 avg. energy, -1 avg. life time, 0 avg. childs
16. 13 animals, 22 plants, 31 avg. energy, -1 avg. life time, 0 avg. childs
17. 14 animals, 23 plants, 28 avg. energy, -1 avg. life time, 0 avg. childs
18. 14 animals, 24 plants, 27 avg. energy, -1 avg. life time, 0 avg. childs
19. 14 animals, 24 plants, 27 avg. energy, -1 avg. life time, 0 avg. childs
20. 14 animals, 25 plants, 26 avg. energy, -1 avg. life time, 0 avg. childs
21. 14 animals, 26 plants, 25 avg. energy, -1 avg. life time, 0 avg. childs
22. 14 animals, 27 plants, 24 avg. energy, -1 avg. life time, 0 avg. childs
23. 15 animals, 28 plants, 22 avg. energy, -1 avg. life time, 0 avg. childs
24. 15 animals, 27 plants, 23 avg. energy, -1 avg. life time, 0 avg. childs
25. 15 animals, 26 plants, 25 avg. energy, -1 avg. life time, 0 avg. childs
26. 14 animals, 27 plants, 27 avg. energy, 24 avg. life time, 0 avg. childs
27. 15 animals, 26 plants, 29 avg. energy, 24 avg. life time, 0 avg. childs
28. 16 animals, 27 plants, 26 avg. energy, 24 avg. life time, 0 avg. childs
29. 17 animals, 28 plants, 23 avg. energy, 24 avg. life time, 0 avg. childs
30. 17 animals, 28 plants, 25 avg. energy, 24 avg. life time, 0 avg. childs
31. 15 animals, 27 plants, 30 avg. energy, 28 avg. life time, 0 avg. childs
32. 15 animals, 28 plants, 30 avg. energy, 28 avg. life time, 0 avg. childs
33. 15 animals, 28 plants, 32 avg. energy, 28 avg. life time, 0 avg. childs
34. 15 animals, 27 plants, 35 avg. energy, 28 avg. life time, 0 avg. childs
35. 15 animals, 28 plants, 34 avg. energy, 28 avg. life time, 0 avg. childs
36. 15 animals, 28 plants, 34 avg. energy, 28 avg. life time, 0 avg. childs
37. 15 animals, 28 plants, 36 avg. energy, 28 avg. life time, 0 avg. childs
38. 15 animals, 28 plants, 37 avg. energy, 28 avg. life time, 0 avg. childs
39. 15 animals, 30 plants, 36 avg. energy, 28 avg. life time, 0 avg. childs
40. 15 animals, 31 plants, 35 avg. energy, 28 avg. life time, 0 avg. childs
41. 15 animals, 32 plants, 36 avg. energy, 28 avg. life time, 0 avg. childs
42. 15 animals, 34 plants, 35 avg. energy, 28 avg. life time, 0 avg. childs
43. 15 animals, 32 plants, 38 avg. energy, 28 avg. life time, 0 avg. childs
44. 15 animals, 33 plants, 38 avg. energy, 28 avg. life time, 0 avg. childs
45. 15 animals, 31 plants, 41 avg. energy, 28 avg. life time, 0 avg. childs
46. 15 animals, 32 plants, 40 avg. energy, 28 avg. life time, 0 avg. childs
47. 15 animals, 32 plants, 40 avg. energy, 28 avg. life time, 0 avg. childs
48. 14 animals, 33 plants, 44 avg. energy, 32 avg. life time, 0 avg. childs
49. 14 animals, 33 plants, 44 avg. energy, 32 avg. life time, 0 avg. childs
50. 14 animals, 33 plants, 45 avg. energy, 32 avg. life time, 0 avg. childs
51. 14 animals, 33 plants, 46 avg. energy, 32 avg. life time, 0 avg. childs
52. 14 animals, 35 plants, 45 avg. energy, 32 avg. life time, 0 avg. childs
53. 14 animals, 36 plants, 46 avg. energy, 32 avg. life time, 0 avg. childs
54. 12 animals, 35 plants, 56 avg. energy, 39 avg. life time, 0 avg. childs
55. 12 animals, 35 plants, 57 avg. energy, 39 avg. life time, 0 avg. childs
56. 12 animals, 35 plants, 57 avg. energy, 39 avg. life time, 0 avg. childs
57. 12 animals, 37 plants, 56 avg. energy, 39 avg. life time, 0 avg. childs
58. 12 animals, 36 plants, 59 avg. energy, 39 avg. life time, 0 avg. childs
59. 12 animals, 35 plants, 61 avg. energy, 39 avg. life time, 0 avg. childs
60. 12 animals, 36 plants, 60 avg. energy, 39 avg. life time, 0 avg. childs
