78. 27 animals, 39 plants, 36 avg. energy, 35 avg. life time, 1 avg. childs
79. 27 animals, 40 plants, 35 avg. energy, 33 avg. life time, 1 avg. childs
80. 27 animals, 38 plants, 39 avg. energy, 33 avg. life time, 1 avg. childs
81. 27 animals, 39 plants, 38 avg. energy, 33 avg. life time, 1 avg. childs
82. 28 animals, 38 plants, 38 avg. energy, 31 avg. life time, 1 avg. childs
83. 29 animals, 39 plants, 36 avg. energy, 31 avg. life time, 1 avg. childs
84. 29 animals, 39 plants, 36 avg. energy, 29 avg. life time, 1 avg. childs
85. 30 animals, 39 plants, 36 avg. energy, 34 avg. life time, 1 avg. childs
86. 32 animals, 38 plants, 35 avg. energy, 34 avg. life time, 1 avg. childs
87. 33 animals, 36 plants, 37 avg. energy, 34 avg. life time, 1 avg. childs
88. 35 animals, 34 plants, 37 avg. energy, 34 avg. life time, 1 avg. childs
89. 35 animals, 31 plants, 40 avg. energy, 32 avg. life time, 1 avg. childs
90. 32 animals, 29 plants, 47 avg. energy, 30 avg. life time, 1 avg. childs
91. 33 animals, 29 plants, 46 avg. energy, 30 avg. life time, 1 avg. childs
92. 34 animals, 29 plants, 45 avg. energy, 30 avg. life time, 1 avg. childs
93. 36 animals, 26 plants, 46 avg. energy, 30 avg. life time, 1 avg. childs
94. 39 animals, 26 plants, 42 avg. energy, 30 avg. life time, 1 avg. childs
95. 42 animals, 25 plants, 40 avg. energy, 30 avg. life time, 1 avg. childs
96. 41 animals, 25 plants, 41 avg. energy, 30 avg. life time, 1 avg. childs
97. 44 animals, 25 plants, 38 avg. energy, 30 avg. life time, 1 avg. childs
98. 48 animals, 26 plants, 34 avg. energy, 30 avg. life time, 1 avg. childs
99. 51 animals, 24 plants, 34 avg. energy, 29 avg. life time, 1 avg. childs
100. 54 animals, 23 plants, 32 avg. energy, 29 avg. life time, 1 avg. childs
101. 58 animals, 23 plants, 30 avg. energy, 29 avg. life time, 1 avg. childs
102. 61 animals, 21 plants, 29 avg. energy, 29 avg. life time, 1 avg. childs
103. 67 animals, 20 plants, 27 avg. energy, 29 avg. life time, 1 avg. childs
104. 68 animals, 20 plants, 26 avg. energy, 28 avg. life time, 2 avg. childs
105. 70 animals, 19 plants, 26 avg. energy, 28 avg. life time, 2 avg. childs
106. 72 animals, 16 plants, 26 avg. energy, 28 avg. life time, 2 avg. childs
107. 71 animals, 15 plants, 27 avg. energy, 27 avg. life time, 2 avg. childs
108. 72 animals, 14 plants, 26 avg. energy, 27 avg. life time, 2 avg. childs
109. 72 animals, 12 plants, 27 avg. energy, 27 avg. life time, 2 avg. childs
110. 75 animals, 13 plants, 25 avg. energy, 27 avg. life time, 2 avg. childs
111. 78 animals, 12 plants, 24 avg. energy, 27 avg. life time, 2 avg. childs
112. 80 animals, 12 plants, 23 avg. energy, 27 avg. life time, 2 avg. childs
113. 85 animals, 11 plants, 22 avg. energy, 27 avg. life time, 2 avg. childs
