78. 3 animals, 69 plants, 38 avg. energy, 18 avg. life time, 1 avg. childs
79. 3 animals, 69 plants, 41 avg. energy, 18 avg. life time, 1 avg. childs
80. 3 animals, 70 plants, 40 avg. energy, 18 avg. life time, 1 avg. childs
81. 3 animals, 71 plants, 39 avg. energy, 18 avg. life time, 1 avg. childs
82. 3 animals, 71 plants, 41 avg. energy, 18 avg. life time, 1 avg. childs
83. 3 animals, 72 plants, 43 avg. energy, 18 avg. life time, 1 avg. childs
84. 3 animals, 73 plants, 42 avg. energy, 18 avg. life time, 1 avg. childs
85. 3 animals, 73 plants, 45 avg. energy, 18 avg. life time, 1 avg. childs
86. 3 animals, 74 plants, 47 avg. energy, 18 avg. life time, 1 avg. childs
87. 3 animals, 74 plants, 49 avg. energy, 18 avg. life time, 1 avg. childs
88. 3 animals, 76 plants, 48 avg. energy, 18 avg. life time, 1 avg. childs
89. 3 animals, 75 plants, 54 avg. energy, 18 avg. life time, 1 avg. childs
90. 3 animals, 76 plants, 53 avg. energy, 18 avg. life time, 1 avg. childs
91. 3 animals, 76 plants, 55 avg. energy, 18 avg. life time, 1 avg. childs
92. 3 animals, 77 plants, 54 avg. energy, 18 avg. life time, 1 avg. childs
93. 3 animals, 78 plants, 53 avg. energy, 18 avg. life time, 1 avg. childs
94. 3 animals, 79 plants, 52 avg. energy, 18 avg. life time, 1 avg. childs
95. 3 animals, 80 plants, 51 avg. energy, 18 avg. life time, 1 avg. childs
96. 3 animals, 80 plants, 54 avg. energy, 18 avg. life time, 1 avg. childs
97. 3 animals, 80 plants, 56 avg. energy, 18 avg. life time, 1 avg. childs
98. 3 animals, 80 plants, 58 avg. energy, 18 avg. life time, 1 avg. childs
99. 3 animals, 81 plants, 57 avg. energy, 18 avg. life time, 1 avg. childs
100. 3 animals, 82 plants, 56 avg. energy, 18 avg. life time, 1 avg. childs
101. 3 animals, 83 plants, 55 avg. energy, 18 avg. life time, 1 avg. childs
102. 3 animals, 83 plants, 58 avg. energy, 18 avg. life time, 1 avg. childs
103. 3 animals, 84 plants, 57 avg. energy, 18 avg. life time, 1 avg. childs
104. 3 animals, 84 plants, 59 avg. energy, 18 avg. life time, 1 avg. childs
105. 2 animals, 83 plants, 98 avg. energy, 61 avg. life time, 1 avg. childs
106. 2 animals, 84 plants, 97 avg. energy, 61 avg. life time, 1 avg. childs
107. 2 animals, 84 plants, 101 avg. energy, 61 avg. life time, 1 avg. childs
108. 2 animals, 85 plants, 100 avg. energy, 61 avg. life time, 1 avg. childs
109. 2 animals, 86 plants, 99 avg. energy, 61 avg. life time, 1 avg. childs
110. 2 animals, 87 plants, 98 avg. energy, 61 avg. life time, 1 avg. childs
111. 2 animals, 86 plants, 107 avg. energy, 61 avg. life time, 1 avg. childs
112. 2 animals, 86 plants, 111 avg. energy, 61 avg. life time, 1 avg. childs
113. 2 animals, 87 plants, 110 avg. energy, 61 avg. life time, 1 avg. childs
114. 2 animals, 88 plants, 109 avg. energy, 61 avg. life time, 1 avg. childs
115. 2 animals, 89 plants, 108 avg. energy, 61 avg. life time, 1 avg. childs
116. 2 animals, 90 plants, 107 avg. energy, 61 avg. life time, 1 avg. childs
117. 2 animals, 90 plants, 111 avg. energy, 61 avg. life time, 1 avg. childs
118. 2 animals, 91 plants, 110 avg. energy, 61 avg. life time, 1 avg. childs
119. 2 animals, 92 plants, 109 avg. energy, 61 avg. life time, 1 avg. childs
120. 2 animals, 92 plants, 113 avg. energy, 61 avg. life time, 1 avg. childs
121. 2 animals, 93 plants, 112 avg. energy, 61 avg. life time, 1 avg. childs
122. 2 animals, 94 plants, 111 avg. energy, 61 avg. life time, 1 avg. childs
123. 2 animals, 94 plants, 115 avg. energy, 61 avg. life time, 1 avg. childs
124. 2 animals, 94 plants, 119 avg. energy, 61 avg. life time, 1 avg. childs
125. 2 animals, 95 plants, 118 avg. energy, 61 avg. life time, 1 avg. childs
126. 2 animals, 96 plants, 117 avg. energy, 61 avg. life time, 1 avg. childs
127. 2 animals, 97 plants, 116 avg. energy, 61 avg. life time, 1 avg. childs
128. 2 animals, 98 plants, 115 avg. energy, 61 avg. life time, 1 avg. childs
129. 2 animals, 98 plants, 114 avg. energy, 61 avg. life time, 1 avg. childs
130. 2 animals, 98 plants, 113 avg. energy, 61 avg. life time, 1 avg. childs
131. 2 animals, 98 plants, 112 avg. energy, 61 avg. life time, 1 avg. childs
132. 2 animals, 98 plants, 111 avg. energy, 61 avg. life time, 1 avg. childs
133. 2 animals, 98 plants, 110 avg. energy, 61 avg. life time, 1 avg. childs
134. 2 animals, 98 plants, 114 avg. energy, 61 avg. life time, 1 avg. childs
135. 2 animals, 98 plants, 118 avg. energy, 61 avg. life time, 1 avg. childs
136. 2 animals, 98 plants, 122 avg. energy, 61 avg. life time, 1 avg. childs
137. 2 animals, 98 plants, 126 avg. energy, 61 avg. life time, 1 avg. childs
138. 2 animals, 98 plants, 125 avg. energy, 61 avg. life time, 1 avg. childs
139. 2 animals, 98 plants, 124 avg. energy, 61 avg. life time, 1 avg. childs
140. 2 animals, 98 plants, 123 avg. energy, 61 avg. life time, 1 avg. childs
141. 2 animals, 98 plants, 127 avg. energy, 61 avg. life time, 1 avg. childs
142. 2 animals, 98 plants, 126 avg. energy, 61 avg. life time, 1 avg. childs
143. 2 animals, 98 plants, 130 avg. energy, 61 avg. life time, 1 avg. childs
144. 2 animals, 98 plants, 129 avg. energy, 61 avg. life time, 1 avg. childs
145. 2 animals, 98 plants, 128 avg. energy, 61 avg. life time, 1 avg. childs
146. 2 animals, 98 plants, 127 avg. energy, 61 avg. life time, 1 avg. childs
147. 2 animals, 98 plants, 126 avg. energy, 61 avg. life time, 1 avg. childs
148. 2 animals, 98 plants, 130 avg. energy, 61 avg. life time, 1 avg. childs
149. 2 animals, 98 plants, 129 avg. energy, 61 avg. life time, 1 avg. childs
150. 2 animals, 98 plants, 128 avg. energy, 61 avg. life time, 1 avg. childs
151. 2 animals, 98 plants, 127 avg. energy, 61 avg. life time, 1 avg. childs
152. 2 animals, 98 plants, 131 avg. energy, 61 avg. life time, 1 avg. childs
153. 2 animals, 98 plants, 130 avg. energy, 61 avg. life time, 1 avg. childs
154. 2 animals, 98 plants, 129 avg. energy, 61 avg. life time, 1 avg. childs
